,index,health_region_id,health_region_name,state_id,state_name,state_num_id,population,vacinados,imunizados,perc_imunizados,perc_vacinados
0,0,11001,Vale do Jamari,RO,Rondônia,11,548272,2063.0,661.0,0.12056059765955583,0.3762730907286894
1,1,11002,Café,RO,Rondônia,11,344162,3284.0,1403.0,0.40765685926976253,0.9542018003149679
2,2,11003,Central,RO,Rondônia,11,640216,3719.0,743.0,0.11605458157871718,0.5808976970272532
3,3,11004,Madeira-Mamoré,RO,Rondônia,11,1286904,8602.0,2595.0,0.20164674288058784,0.6684259276527231
4,4,11005,Zona da Mata,RO,Rondônia,11,265680,1058.0,321.0,0.12082204155374886,0.39822342667871125
5,5,11006,Cone Sul,RO,Rondônia,11,300344,2161.0,672.0,0.22374344085448686,0.7195082971525983
6,6,11007,Vale do Guaporé,RO,Rondônia,11,100906,415.0,100.0,0.09910213465998058,0.41127385883891937
7,7,12001,Alto Acre,AC,Acre,12,116580,943.0,189.0,0.16212043232115286,0.8088866014753816
8,8,12002,Baixo Acre e Purus,AC,Acre,12,1152054,7068.0,904.0,0.07846854400922179,0.6135129082490925
9,9,12003,Juruá e Tarauacá/Envira,AC,Acre,12,450028,4338.0,1613.0,0.3584221426222368,0.9639400215097728
10,10,13001,"Manaus, Entorno e Alto Rio Negro",AM,Amazonas,13,5152098,81804.0,19126.0,0.37122741065872583,1.5877803566624704
11,11,13002,Rio Negro e Solimões,AM,Amazonas,13,595898,5081.0,708.0,0.11881227995395185,0.8526627040198154
12,12,13003,Rio Madeira,AM,Amazonas,13,377245,3663.0,887.0,0.23512571405850308,0.9709870243475724
13,13,13004,Médio Amazonas,AM,Amazonas,13,345994,4125.0,482.0,0.13930877414059203,1.1922172060787182
14,14,13005,Baixo Amazonas,AM,Amazonas,13,501198,6642.0,1566.0,0.31245136652580413,1.3252247614715142
15,15,13006,Regional Purus,AM,Amazonas,13,265176,3520.0,962.0,0.36277792862099134,1.3274202793616316
16,16,13007,Regional Juruá,AM,Amazonas,13,275636,2659.0,387.0,0.14040255989783626,0.9646780536649784
17,17,13008,Triângulo,AM,Amazonas,13,250242,3309.0,610.0,0.24376403641275246,1.3223199942455703
18,18,13009,Alto Solimões,AM,Amazonas,13,503734,12653.0,2901.0,0.575899184887262,2.5118415671763272
19,19,14001,Centro Norte,RR,Roraima,14,1030732,10432.0,4904.0,0.4757783788608484,1.0120962578051327
20,20,14002,Sul,RR,Roraima,14,180790,981.0,529.0,0.29260467946235963,0.542618507660822
21,21,15001,Araguaia,PA,Pará,15,1133364,3433.0,1165.0,0.1027913362344313,0.3029035684916761
22,22,15002,Baixo Amazonas,PA,Pará,15,1511262,12499.0,3299.0,0.21829437913478933,0.8270571217962206
23,23,15003,Carajás,PA,Pará,15,1750464,6887.0,1854.0,0.10591477459690687,0.3934385397243246
24,24,15004,Lago de Tucuruí,PA,Pará,15,882711,2218.0,863.0,0.09776699282097992,0.2512713674124374
25,25,15006,Metropolitana I,PA,Pará,15,4477360,39737.0,11849.0,0.26464255722121965,0.8875096038737114
26,26,15007,Metropolitana II,PA,Pará,15,735184,2383.0,629.0,0.08555681298831314,0.32413654268863307
27,27,15008,Metropolitana III,PA,Pará,15,1878842,7235.0,2508.0,0.13348647730889557,0.3850776169576792
28,28,15009,Rio Caetés,PA,Pará,15,1082502,4165.0,1429.0,0.132008993978764,0.38475679490661446
29,29,15010,Tapajós,PA,Pará,15,442270,2527.0,683.0,0.15443055147308207,0.5713704298279332
30,30,15011,Tocantins,PA,Pará,15,1410178,4213.0,1502.0,0.10651137657799228,0.2987566108675642
31,31,15012,Xingu,PA,Pará,15,700552,3653.0,1085.0,0.1548778677385833,0.5214459454829906
32,32,15013,Marajó I,PA,Pará,15,488054,2189.0,619.0,0.12683022780266118,0.44851594290795693
33,33,15014,Marajó II,PA,Pará,15,640344,2220.0,506.0,0.07902002673562959,0.3466886548480192
34,34,16001,Área Central,AP,Amapá,16,1132926,6723.0,1144.0,0.100977468960903,0.5934191641819502
35,35,16002,Área Norte,AP,Amapá,16,139862,1990.0,951.0,0.6799559565857773,1.4228310763466847
36,36,16003,Área Sudoeste,AP,Amapá,16,418674,2287.0,734.0,0.1753154005264239,0.5462483937383262
37,37,17001,Médio Norte Araguaia,TO,Tocantins,17,603724,5627.0,1088.0,0.18021480014046154,0.9320484194764495
38,38,17002,Bico do Papagaio,TO,Tocantins,17,419592,3061.0,689.0,0.16420713454975308,0.7295181986310512
39,39,17003,Sudeste,TO,Tocantins,17,197194,1383.0,251.0,0.12728582005537692,0.7013397973569175
40,40,17004,Cerrado Tocantins Araguaia,TO,Tocantins,17,323604,2248.0,486.0,0.15018355768161085,0.6946762091939531
41,41,17005,Ilha do Bananal,TO,Tocantins,17,368514,3084.0,715.0,0.19402247947160758,0.8368745827838291
42,42,17006,Capim Dourado,TO,Tocantins,17,750066,5730.0,3039.0,0.4051643455375927,0.7639327739158954
43,43,17007,Cantão,TO,Tocantins,17,260248,1776.0,342.0,0.1314131136454459,0.6824259936675786
44,44,17008,Amor Perfeito,TO,Tocantins,17,222790,1904.0,375.0,0.16831994254679294,0.8546164549575833
45,45,21001,Açailândia,MA,Maranhão,21,594816,2345.0,1061.0,0.17837448891758123,0.39423956315902736
46,46,21002,Bacabal,MA,Maranhão,21,539538,3596.0,1180.0,0.21870563333815227,0.6664961504101657
47,47,21003,Balsas,MA,Maranhão,21,452700,2385.0,804.0,0.17760106030483763,0.5268389662027833
48,48,21004,Barra do Corda,MA,Maranhão,21,466744,5252.0,1844.0,0.3950773871758394,1.1252421027372606
49,49,21005,Caxias,MA,Maranhão,21,611882,4124.0,1430.0,0.2337051915238559,0.6739861607303369
50,50,21006,Chapadinha,MA,Maranhão,21,756728,3233.0,851.0,0.11245784482667484,0.42723409203835455
51,51,21007,Codó,MA,Maranhão,21,618114,3631.0,1069.0,0.1729454437207376,0.5874320918147785
52,52,21008,Imperatriz,MA,Maranhão,21,1085924,6621.0,2225.0,0.20489463351026407,0.6097111768411049
53,53,21009,Itapecuru Mirim,MA,Maranhão,21,769550,4206.0,921.0,0.1196803326619453,0.5465531804301215
54,54,21010,Pedreiras,MA,Maranhão,21,437852,2924.0,950.0,0.2169682906552899,0.6678055598695449
55,55,21011,Pinheiro,MA,Maranhão,21,794968,3924.0,1331.0,0.16742812289299694,0.49360477402864017
56,56,21012,Presidente Dutra,MA,Maranhão,21,581540,3974.0,1003.0,0.17247308869553254,0.6833579805344431
57,57,21013,Rosário,MA,Maranhão,21,601794,3015.0,920.0,0.15287623339548084,0.501002004008016
58,58,21014,Santa Inês,MA,Maranhão,21,788496,5965.0,1705.0,0.2162344514112944,0.7565035206266107
59,59,21015,São João dos Patos,MA,Maranhão,21,492218,3070.0,916.0,0.18609640443868367,0.6237073816886014
60,60,21016,São Luís,MA,Maranhão,21,2909252,25712.0,8347.0,0.2869122372348631,0.8838010595163293
61,61,21017,Timon,MA,Maranhão,21,500012,2925.0,857.0,0.17139588649872403,0.5849859603369519
62,62,21018,Viana,MA,Maranhão,21,546054,3242.0,960.0,0.17580678833961474,0.593714174788574
63,63,21019,Zé Doca,MA,Maranhão,21,602180,3379.0,1080.0,0.17934836759772826,0.5611279019562257
64,64,22001,Carnaubais,PI,Piauí,22,320561,2028.0,483.0,0.15067335078191046,0.6326409014196986
65,65,22002,Chapada das Mangabeiras,PI,Piauí,22,394692,2079.0,549.0,0.13909580128302576,0.5267398376455565
66,66,22003,Cocais,PI,Piauí,22,687702,3377.0,570.0,0.08288473786611061,0.49105571890150096
67,67,22004,Entre Rios,PI,Piauí,22,2422339,19723.0,7081.0,0.29232076930603024,0.8142130395456624
68,68,22005,Planície Litorânea,PI,Piauí,22,560518,2887.0,582.0,0.10383252634170534,0.5150592844476003
69,69,22006,Serra da Capivara,PI,Piauí,22,296868,1608.0,447.0,0.15057197138121994,0.5416548769149926
70,70,22007,Tabuleiros do Alto Parnaíba,PI,Piauí,22,95886,373.0,99.0,0.10324760653275765,0.38900360845170306
71,71,22008,Vale do Canindé,PI,Piauí,22,217816,1460.0,479.0,0.21991038307562347,0.6702905204392698
72,72,22009,Vale do Rio Guaribas,PI,Piauí,22,753584,4425.0,1352.0,0.17940932928512285,0.5871939956262341
73,73,22010,Vale do Sambito,PI,Piauí,22,213572,1496.0,386.0,0.18073530238046187,0.7004663532672822
74,74,22011,Vale dos Rios Piauí e Itaueiras,PI,Piauí,22,417814,2919.0,767.0,0.18357450923138047,0.698636235262581
75,75,23001,1ª Região Fortaleza,CE,Ceará,23,5644442,82487.0,6449.0,0.11425398648794689,1.4613844911507639
76,76,23002,2ª Região Caucaia,CE,Ceará,23,1180015,7509.0,2446.0,0.2072855006080431,0.6363478430358936
77,77,23003,3ª Região Maracanaú,CE,Ceará,23,934147,5230.0,1597.0,0.17095810402431308,0.5598690570113698
78,78,23004,4ª Região Baturité,CE,Ceará,23,198883,1083.0,436.0,0.21922436809581514,0.5445412629535958
79,79,23005,5ª Região Canindé,CE,Ceará,23,393509,2264.0,694.0,0.17636191294227072,0.5753362693102317
80,80,23006,6ª Região Itapipoca,CE,Ceará,23,600984,2902.0,379.0,0.06306324294823157,0.48287475207326647
81,81,23007,7ª Região Aracati,CE,Ceará,23,221096,1389.0,306.0,0.13840141838839237,0.628233889351232
82,82,23008,8ª Região Quixadá,CE,Ceará,23,653278,3635.0,859.0,0.13149072829637612,0.55642467678385
83,83,23009,9ª Região Russas,CE,Ceará,23,324480,1519.0,316.0,0.09738658777120317,0.4681336291913215
84,84,23010,10ª Região Limoeiro do Norte,CE,Ceará,23,438655,3382.0,791.0,0.18032394478576558,0.7709931495138549
