,state_id,state_name,state_num_id,population,imunizados,vacinados,perc_imunizados,perc_vacinados
0,AC,Acre,12,1718662,2706.0,12349.0,0.15744806134074066,0.7185240611592041
1,AL,Alagoas,27,6668944,16861.0,42422.0,0.25282863373871484,0.6361127039003476
2,AM,Amazonas,13,8267221,27629.0,123456.0,0.3341993639700693,1.4933192181508153
3,AP,Amapá,16,1691462,2829.0,11000.0,0.16725176208510745,0.650324985131206
4,BA,Bahia,29,26211862,45208.0,238117.0,0.17247153216356778,0.9084322204962013
5,CE,Ceará,23,16922315,23034.0,147670.0,0.13611612831932274,0.8726347429414947
6,DF,Distrito Federal,53,6030536,17141.0,54302.0,0.2842367577276713,0.900450639876787
7,ES,Espírito Santo,32,8006302,21075.0,72271.0,0.2632301404568551,0.9026764166527818
8,GO,Goiás,52,13982238,29214.0,114413.0,0.20893650930559185,0.8182738700342534
9,MA,Maranhão,21,14150362,29454.0,93523.0,0.20815015191837494,0.6609230209092885
10,MG,Minas Gerais,31,40183176,108530.0,276306.0,0.27008815828793625,0.6876161306911132
11,MS,Mato Grosso do Sul,50,5019270,19156.0,44818.0,0.381649124275044,0.892918691363485
12,MT,Mato Grosso,51,6968932,20368.0,47890.0,0.2922686001240936,0.6871928151975081
13,PA,Pará,15,17133087,27991.0,93359.0,0.16337394422849777,0.544904721490062
14,PB,Paraíba,25,8036254,25051.0,75966.0,0.3117248409520157,0.9452911767099448
15,PE,Pernambuco,26,19025224,47266.0,139847.0,0.2484385991986218,0.7350609906090987
16,PI,Piauí,22,6381352,12795.0,42375.0,0.2005060996478489,0.6640442338864867
17,PR,Paraná,41,20366644,41050.0,131153.0,0.2015550524671615,0.6439598001516598
18,RJ,Rio de Janeiro,33,33164546,51553.0,242861.0,0.15544612008257253,0.7322910435740625
19,RN,Rio Grande do Norte,24,6963724,18152.0,53002.0,0.26066512687751553,0.7611157478383692
20,RO,Rondônia,11,3486484,6495.0,21302.0,0.18629083053299542,0.6109880326426279
21,RR,Roraima,14,1211522,5433.0,11413.0,0.4484441883845279,0.9420381965824806
22,RS,Rio Grande do Sul,43,21994673,61844.0,225679.0,0.2811771741275717,1.026062083305353
23,SC,Santa Catarina,42,13844814,28333.0,95049.0,0.20464702523269726,0.686531433358368
24,SE,Sergipe,28,4386278,8869.0,28049.0,0.2021987662432705,0.6394715519627346
25,SP,São Paulo,35,91786861,390106.0,1141395.0,0.42501290026684757,1.243527654791463
26,TO,Tocantins,17,3145732,6985.0,24813.0,0.22204688765603683,0.7887830241101277
