country_iso,country_name,state_id,state_name,city_id,city_name,population,health_system_region,last_updated_number_ventilators,author_number_ventilators,number_ventilators,last_updated_number_beds,author_number_beds,number_beds,last_updated_number_icu_beds,author_number_icu_beds,number_icu_beds,last_updated,confirmed_cases,deaths,state,daily_cases,infectious_period_cases,notification_rate,active_cases
BR,Brasil,AC,Acre,1200013,Acrelândia,15256,Acre,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,3.2,2020-02-01 00:00:00,SUS,,2020-04-24,12.0,0.0,AC,0.0,3.0,1.0,3.0
BR,Brasil,AC,Acre,1200054,Assis Brasil,7417,Brasiléia,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,2.4000000000000004,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AC,Acre,1200104,Brasiléia,26278,Brasiléia,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,8.0,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AC,Acre,1200138,Bujari,10266,Acre,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-04-24,1.0,0.0,AC,0.0,0.0,1.0,0.0
BR,Brasil,AC,Acre,1200179,Capixaba,11733,Acre,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AC,Acre,1200203,Cruzeiro do Sul,88376,Cruzeiro do Sul,2020-02-01 00:00:00,SUS,3.2,2020-02-01 00:00:00,SUS,35.0,2020-02-01 00:00:00,SUS,,2020-04-24,5.0,0.0,AC,0.0,5.0,1.0,5.0
BR,Brasil,AC,Acre,1200252,Epitaciolândia,18411,Brasiléia,2020-02-01 00:00:00,SUS,0.2,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AC,Acre,1200302,Feijó,34780,Cruzeiro do Sul,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,8.200000000000001,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AC,Acre,1200328,Jordão,8317,Cruzeiro do Sul,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,2.0,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AC,Acre,1200336,Mâncio Lima,18977,Cruzeiro do Sul,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,5.0,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AC,Acre,1200344,Manoel Urbano,9459,Acre,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,5.2,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AC,Acre,1200351,Marechal Thaumaturgo,18867,Cruzeiro do Sul,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,2.6,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AC,Acre,1200385,Plácido de Castro,19761,Acre,2020-02-01 00:00:00,SUS,0.2,2020-02-01 00:00:00,SUS,10.4,2020-02-01 00:00:00,SUS,,2020-04-24,22.0,1.0,AC,1.0,18.0,0.4114285714285714,43.75
BR,Brasil,AC,Acre,1200393,Porto Walter,11982,Cruzeiro do Sul,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,2.8000000000000003,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AC,Acre,1200401,Rio Branco,407319,Acre,2020-02-01 00:00:00,SUS,25.6,2020-02-01 00:00:00,SUS,175.4,2020-02-01 00:00:00,SUS,,2020-04-24,191.0,10.0,AC,6.0,136.0,0.42673015873015874,318.70257402172297
BR,Brasil,AC,Acre,1200427,Rodrigues Alves,18930,Cruzeiro do Sul,2020-02-01 00:00:00,SUS,0.2,2020-02-01 00:00:00,SUS,3.2,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AC,Acre,1200435,Santa Rosa do Purus,6540,Acre,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,3.2,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AC,Acre,1200450,Senador Guiomard,23024,Acre,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,5.800000000000001,2020-02-01 00:00:00,SUS,,2020-04-24,2.0,0.0,AC,0.0,2.0,1.0,2.0
BR,Brasil,AC,Acre,1200500,Sena Madureira,45848,Acre,2020-02-01 00:00:00,SUS,0.2,2020-02-01 00:00:00,SUS,10.0,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AC,Acre,1200609,Tarauacá,42567,Cruzeiro do Sul,2020-02-01 00:00:00,SUS,0.4,2020-02-01 00:00:00,SUS,8.4,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AC,Acre,1200708,Xapuri,19323,Brasiléia,2020-02-01 00:00:00,SUS,0.4,2020-02-01 00:00:00,SUS,6.0,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AC,Acre,1200807,Porto Acre,18504,Acre,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-04-24,1.0,0.0,AC,0.0,0.0,1.0,0.0
BR,Brasil,AL,Alagoas,2700102,Água Branca,20196,Região 03,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,5.0,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2700201,Anadia,17545,Região 02,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,5.0,2020-02-01 00:00:00,SUS,,2020-04-25,1.0,1.0,AL,0.0,1.0,0.02,50.0
BR,Brasil,AL,Alagoas,2700300,Arapiraca,231747,Região 04,2020-02-01 00:00:00,SUS,11.200000000000001,2020-02-01 00:00:00,SUS,194.0,2020-02-01 00:00:00,SUS,,2020-04-25,4.0,0.0,AL,0.0,4.0,1.0,4.0
BR,Brasil,AL,Alagoas,2700409,Atalaia,47185,Região 01,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,8.8,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2700508,Barra de Santo Antônio,15932,Região 01,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-04-25,1.0,0.0,AL,0.0,1.0,1.0,1.0
BR,Brasil,AL,Alagoas,2700607,Barra de São Miguel,8322,Região 01,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2700706,Batalha,18232,Região 03,2020-02-01 00:00:00,SUS,0.2,2020-02-01 00:00:00,SUS,7.0,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2700805,Belém,4344,Região 04,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2700904,Belo Monte,6704,Região 03,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2701001,Boca da Mata,27281,Região 02,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,2.8000000000000003,2020-02-01 00:00:00,SUS,,2020-04-25,1.0,0.0,AL,0.0,1.0,1.0,1.0
BR,Brasil,AL,Alagoas,2701100,Branquinha,10494,Região 05,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2701209,Cacimbinhas,10858,Região 04,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,0.6000000000000001,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2701308,Cajueiro,21264,Região 01,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,5.2,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2701357,Campestre,6936,Região 05,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2701407,Campo Alegre,57063,Região 02,2020-02-01 00:00:00,SUS,0.2,2020-02-01 00:00:00,SUS,8.0,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2701506,Campo Grande,9558,Região 04,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2701605,Canapi,17722,Região 03,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2701704,Capela,17053,Região 01,2020-02-01 00:00:00,SUS,0.2,2020-02-01 00:00:00,SUS,10.600000000000001,2020-02-01 00:00:00,SUS,,2020-04-25,1.0,0.0,AL,0.0,1.0,1.0,1.0
BR,Brasil,AL,Alagoas,2701803,Carneiros,9081,Região 03,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2701902,Chã Preta,7311,Região 01,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2702009,Coité do Nóia,10693,Região 04,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2702108,Colônia Leopoldina,21698,Região 05,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,6.6000000000000005,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2702207,Coqueiro Seco,5845,Região 01,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2702306,Coruripe,56933,Região 02,2020-02-01 00:00:00,SUS,5.4,2020-02-01 00:00:00,SUS,54.800000000000004,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2702355,Craíbas,24219,Região 04,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,1.6,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2702405,Delmiro Gouveia,52016,Região 03,2020-02-01 00:00:00,SUS,0.2,2020-02-01 00:00:00,SUS,8.8,2020-02-01 00:00:00,SUS,,2020-04-25,1.0,0.0,AL,0.0,1.0,1.0,1.0
BR,Brasil,AL,Alagoas,2702504,Dois Riachos,11075,Região 03,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,,,,,,,,
BR,Brasil,AL,Alagoas,2702553,Estrela de Alagoas,18205,Região 04,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,2020-02-01 00:00:00,SUS,,,,,,,,,
