,Estado,Cidade,Vacinados (1 Dose),População vacinada,Imunizados (Dose completas),População imunizada,População restante a vacinar
0,Rondônia,Alta Floresta D'Oeste,1580,6.89 %,875,3.81 %,21.365
1,Rondônia,Ariquemes,3446,3.19 %,1188,1.10 %,104.417
2,Rondônia,Cabixi,479,9.02 %,166,3.12 %,4.833
3,Rondônia,Cacoal,6048,7.09 %,3233,3.79 %,79.311
4,Rondônia,Cerejeiras,1045,6.40 %,355,2.17 %,15.278
5,Rondônia,Colorado do Oeste,711,4.48 %,336,2.12 %,15.171
6,Rondônia,Corumbiara,340,4.60 %,156,2.11 %,7.051
7,Rondônia,Costa Marques,347,1.89 %,96,0.52 %,17.984
8,Rondônia,Espigão D'Oeste,1442,4.45 %,546,1.69 %,30.932
9,Rondônia,Guajará-Mirim,3942,8.54 %,2111,4.57 %,42.232
10,Rondônia,Jaru,2614,5.05 %,898,1.73 %,49.161
11,Rondônia,Ji-Paraná,3854,2.99 %,1031,0.80 %,125.115
12,Rondônia,Machadinho D'Oeste,983,2.46 %,389,0.97 %,39.008
13,Rondônia,Nova Brasilândia D'Oeste,330,1.61 %,134,0.65 %,20.144
14,Rondônia,Ouro Preto do Oeste,1281,3.55 %,705,1.96 %,34.754
15,Rondônia,Pimenta Bueno,1489,4.06 %,648,1.77 %,35.171
16,Rondônia,Porto Velho,28687,5.42 %,9115,1.72 %,500.857
17,Rondônia,Presidente Médici,915,4.82 %,312,1.64 %,18.071
18,Rondônia,Rio Crespo,208,5.53 %,76,2.02 %,3.556
19,Rondônia,Rolim de Moura,375,0.68 %,114,0.21 %,54.683
20,Rondônia,Santa Luzia D'Oeste,365,5.62 %,197,3.03 %,6.130
21,Rondônia,Vilhena,4364,4.37 %,2261,2.26 %,95.490
22,Rondônia,Nova Mamoré,931,3.04 %,385,1.26 %,29.652
23,Rondônia,Alvorada D'Oeste,738,5.12 %,268,1.86 %,13.673
24,Rondônia,Alto Alegre dos Parecis,452,3.41 %,162,1.22 %,12.789
25,Rondônia,Alto Paraíso,798,3.72 %,206,0.96 %,20.630
26,Rondônia,Buritis,1238,3.12 %,505,1.27 %,38.416
27,Rondônia,Novo Horizonte do Oeste,290,3.40 %,178,2.08 %,8.248
28,Rondônia,Cacaulândia,272,4.37 %,100,1.61 %,5.958
29,Rondônia,Campo Novo de Rondônia,369,2.61 %,149,1.05 %,13.770
30,Rondônia,Candeias do Jamari,768,2.88 %,296,1.11 %,25.925
31,Rondônia,Castanheiras,259,8.49 %,72,2.36 %,2.793
32,Rondônia,Chupinguaia,318,2.84 %,63,0.56 %,10.864
33,Rondônia,Cujubim,484,1.92 %,42,0.17 %,24.731
34,Rondônia,Governador Jorge Teixeira,577,7.43 %,244,3.14 %,7.190
35,Rondônia,Itapuã do Oeste,514,4.91 %,237,2.27 %,9.944
36,Rondônia,Ministro Andreazza,495,5.12 %,156,1.61 %,9.165
37,Rondônia,Mirante da Serra,275,2.51 %,155,1.42 %,10.672
38,Rondônia,Monte Negro,879,5.55 %,231,1.46 %,14.973
39,Rondônia,Nova União,295,4.23 %,108,1.55 %,6.675
